City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,Cap Malheureux,-19.9842,57.6142,81.0,75,32,5.99,MU,1612131841
336,Cirebon,-6.7063,108.557,76.96,82,89,7.7,ID,1612131877
337,Cherskiy,68.75,161.3,-17.28,82,96,6.96,RU,1612132132
338,Kostino,58.9097,53.2691,31.01,93,100,17.09,RU,1612131612
339,Bulgan,48.8125,103.5347,-12.01,82,0,3.18,MN,1612131877
340,Acapulco de Juárez,16.8634,-99.8901,84.2,74,20,9.22,MX,1612131653
341,Havre-St-Pierre,50.2334,-63.5986,21.2,58,1,8.05,CA,1612131693
342,Muros,42.7762,-9.0603,59.0,81,100,5.99,ES,1612131625
343,Socorro,31.6546,-106.3033,60.8,20,1,9.22,US,1612131807
344,Xining,36.6167,101.7667,12.15,65,0,3.06,CN,1612131878
345,Kautokeino,69.0125,23.0412,16.99,96,98,10.76,NO,1612131879
346,Saint-Pierre,-21.3393,55.4781,80.6,69,20,18.41,RE,1612131879
347,Pevek,69.7008,170.3133,-27.27,85,85,2.95,RU,1612132134
348,Rāwah,34.4816,41.9093,50.61,60,0,9.24,IQ,1612131879
349,Båtsfjord,70.6345,29.7185,26.6,93,75,4.61,NO,1612131880
350,Labytnangi,66.6572,66.4183,-20.76,86,100,4.16,RU,1612131880
